name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Unidiz Suites","883 Carola, España Blvd, Sampaloc, Manila, 1008, Philippines","+63 917 851 7195","clothing@rovelco.com",14.6102226,120.9938831,"http://rovelco.com/","Philippines","Metro Manila","Manila",3.5,2,"1008","Boarding houses","Boarding houses","https://www.facebook.com/RovelcoClothing","https://www.instagram.com/rovelco.clothing","","https://www.twitter.com/RovelcoClothing","","",""
"Dormiko Honda","3522 Honda, Makati, 1213 Metro Manila, Philippines","+63 917 638 4484","dormiko.ph@gmail.com",14.5563998,121.0400725,"https://dormiko.ph/location/Honda","Philippines","Metro Manila","Manila",0,0,"1213","Boarding houses","Boarding houses,Residential buildings,Apartment buildings","https://www.facebook.com/dormiko.ph","https://www.instagram.com/dormiko.ph/","","","","",""
"Dormiko Ensueno","2768 Ensueño, Makati, 1213 Metro Manila, Philippines","+63 917 625 8050","dormiko.ph@gmail.com",14.5578208,121.0415135,"https://dormiko.ph/location/Ensueno","Philippines","Metro Manila","Manila",1,1,"1213","Boarding houses","Apartment buildings,Boarding houses,Residential buildings","https://www.facebook.com/dormiko.ph","https://www.instagram.com/dormiko.ph/","","","","",""
"Belong Property Development - Junquera","Violeta Bldg. R. Landon Cor., 6000, Junquera Ext, Cebu City, Cebu, Philippines","+63 5139130","Belongproperty7@gmail.com",10.3029083,123.8978252,"https://belongproperty.firebaseapp.com/","Philippines","Central Visayas","",0,0,"","Boarding houses","Boarding houses","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fbelongproperty.firebaseapp.com%2F&src=sdkpreparse","","","","","",""
"Belong Property Development - San Roque","8WFF+XGX, Flyover, Mandaue City, Cebu, Philippines","+63 5052488","Belongproperty7@gmail.com",10.324986,123.9238497,"https://belongproperty.firebaseapp.com/","Philippines","Central Visayas","",3.6,5,"","Boarding houses","Boarding houses","https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fbelongproperty.firebaseapp.com%2F&src=sdkpreparse","","","","","",""
"Casa La Nina Women's Dorm","41 Scout Castor St., Brgy. Laging Handa, Quezon City, 1103 Metro Manila, Philippines","+63 947 289 3808","casalanina@gmail.com",14.6306924,121.0273932,"http://www.casalanina.com/","Philippines","Metro Manila","Manila",3.9,27,"1103","Boarding houses","Student dormitories,Bed & breakfasts,Boarding houses,Hostels,Guest houses,Hotels","https://www.facebook.com/casalanina","","","","","",""
"The V Dormitories","133 T. Alonzo St, Baguio, Benguet, Philippines","+63 74 423 0803","thevdormitories@gmail.com",16.4203022,120.5969425,"http://thevdorm.wixsite.com/vdorms","Philippines","Cordillera Administrative Region","Baguio",0,0,"","Boarding houses","Boarding houses,Student dormitories","","","","","","",""
"Casa Mia","#7 N.S. Araneta Street, Araneta Avenue, Dakbanwa sang Bago, Negros Occidental, Philippines","+63 908 542 0048","",10.533425,122.8388853,"","Philippines","Western Visayas","",4,5,"","Boarding houses","Boarding houses,Guest houses","","","","","","",""
"Gulac Boarding House","Jaro, Iloilo City, Iloilo, Philippines","+63 917 305 2520","",10.7288494,122.5548603,"","Philippines","Western Visayas","",0,0,"","Boarding houses","Boarding houses","","","","","","",""
"Scholar's Residences","DCM Building, Tomas Saco St, Cagayan de Oro, 9000 Misamis Oriental, Philippines","+63 917 159 3973","",8.4741073,124.6450129,"","Philippines","Northern Mindanao","",4.5,8,"9000","Boarding houses","Boarding houses","","","","","","",""
